subject,category,caption1_condition,caption2_condition,selected_question,selected_question_type
62,rain,spk-neg,evi-neu,"I wonder, will it actually rain?",Other
62,train,spk-neg,evi-pos,Is the 6am train usually on time?,Other
62,library,spk-pos,evi-neu,Is there a library nearby?,PPQ
62,beer,spk-neu,evi-pos,Do you like beer?,PPQ
62,korean,spk-neu,evi-neu,Do you speak Korean?,PPQ
63,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
63,korean,spk-neu,evi-pos,Do you speak Korean?,PPQ
63,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
63,bike,spk-neu,evi-neu,Don't you have a bike?,HNQ
63,rain,spk-pos,evi-neg,Is it raining?,PPQ
63,library,spk-pos,evi-neu,Is there a library nearby?,PPQ
63,beer,spk-neu,evi-neg,Don't you like beer?,HNQ
64,rain,spk-neu,evi-neg,Is it not raining?,LNQ
64,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
64,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
64,bike,spk-neg,evi-neu,Don't you have a bike?,HNQ
64,library,spk-neg,evi-pos,Isn't there a library nearby?,HNQ
64,train,spk-neu,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
64,korean,spk-neu,evi-neu,Do you speak Korean?,PPQ
65,train,spk-neu,evi-neg,Isn't there a train in the early morning?,HNQ
65,korean,spk-neg,evi-neu,Don't you speak Korean?,HNQ
65,library,spk-pos,evi-neg,Isn't there a library nearby?,HNQ
65,beer,spk-neu,evi-pos,Is that enough?,Other
65,bike,spk-neu,evi-neu,Don't you have a bike?,HNQ
65,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
65,rain,spk-neg,evi-pos,Is it raining?,PPQ
66,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
66,korean,spk-pos,evi-neu,Do you speak Korean?,PPQ
66,rain,spk-neu,evi-neg,Is it raining?,PPQ
66,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
66,beer,spk-neu,evi-pos,Do you like beer?,PPQ
66,train,spk-pos,evi-neg,Is there a train in the early morning?,PPQ
66,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
67,beer,spk-pos,evi-neu,Do you like beer?,PPQ
67,dog,spk-neu,evi-neg,Don't you have any pets?,Other
67,library,spk-neg,evi-pos,Isn't there a library nearby?,HNQ
67,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
67,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
67,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
67,bike,spk-neg,evi-neu,Shouldn't we clean everything to find your bike?,Other
68,dog,spk-neg,evi-neu,Do you not have a dog?,LNQ
68,rain,spk-pos,evi-neg,Is it not raining?,LNQ
68,beer,spk-neu,evi-pos,Do you like beer?,PPQ
68,library,spk-neu,evi-neg,Is there no library nearby?,LNQ
68,bike,spk-neu,evi-neu,Do you not have a bike?,LNQ
68,korean,spk-pos,evi-neu,Do you not speak Korean?,LNQ
68,train,spk-neg,evi-pos,Is there no train in the early morning?,LNQ
69,beer,spk-neu,evi-pos,"You're an IPA guy, huh?",Other
69,library,spk-neg,evi-pos,Can you tell me where the closest library is?,Other
69,korean,spk-neu,evi-neg,Are you planning on taking classes to learn how to speak Korean?,Other
69,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
69,dog,spk-pos,evi-neg,Where is your Dog Max?,Other
69,bike,spk-pos,evi-neu,What kind of Bike do you have?,Other
69,rain,spk-neg,evi-neu,Do you think I should wear a rain coat?,Other
70,korean,spk-neg,evi-pos,Really? Do you speak Korean?,ReallyPQ
70,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
70,train,spk-pos,evi-neg,Really? Is there a train in the early morning?,ReallyPQ
70,beer,spk-neu,evi-neg,Really? Do you like beer?,ReallyPQ
70,library,spk-neg,evi-neu,Is there no library nearby?,LNQ
70,bike,spk-pos,evi-neu,,Other
70,dog,spk-neu,evi-neu,Do you not have a dog?,LNQ
71,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
71,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
71,beer,spk-neu,evi-neg,Do you not like beer?,LNQ
71,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
71,korean,spk-neu,evi-pos,Really? Do you speak Korean?,ReallyPQ
71,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
71,library,spk-pos,evi-neg,Isn't there a library nearby?,HNQ
72,train,spk-neg,evi-neu,Really? Is there a train in the early morning?,ReallyPQ
72,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
72,rain,spk-pos,evi-neu,Really? Is it raining?,ReallyPQ
72,korean,spk-neu,evi-neg,Don't you speak Korean?,HNQ
72,bike,spk-neu,evi-pos,Do you not have a bike?,LNQ
72,dog,spk-neg,evi-pos,Don't you have a dog?,HNQ
72,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
73,korean,spk-neg,evi-neu,Does this make you want to try to learn to speak Korean?,Other
73,rain,spk-pos,evi-neu,Isn't it raining?,HNQ
73,train,spk-neu,evi-neg,Is there a train in the early morning?,PPQ
73,bike,spk-neu,evi-pos,"I see you remembered your helmet and chain, did you forget your bike?",Other
73,beer,spk-neu,evi-neu,Don't you like beer?,HNQ
73,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
73,library,spk-pos,evi-neg,Is there no library nearby?,LNQ
74,rain,spk-neu,evi-neu,Isn't it raining?,HNQ
74,train,spk-neg,evi-pos,Isn't there a train in the early morning?,HNQ
74,bike,spk-neg,evi-neu,Don't you have a bike?,HNQ
74,beer,spk-neu,evi-pos,Do you like beer?,PPQ
74,library,spk-neu,evi-neg,Is there no library nearby?,LNQ
74,korean,spk-pos,evi-neu,Do you speak Korean?,PPQ
74,dog,spk-pos,evi-neg,Don't you have a dog?,HNQ
75,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
75,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
75,beer,spk-neu,evi-pos,is this your favorite kind of beer?,Other
75,train,spk-neu,evi-neu,Do you have any trains departing mid morning?,Other
75,dog,spk-pos,evi-neu,Do you have a dog?,PPQ
75,bike,spk-neu,evi-neg,what's the reason you haven't rode your bike in awhile? ,Other
75,rain,spk-neg,evi-pos,Do you have an umbrella to keep my head dry from the rain? ,Other
76,beer,spk-neg,evi-neu,Do you not like beer?,LNQ
76,korean,spk-neg,evi-pos,Do you not speak Korean?,LNQ
76,dog,spk-neu,evi-neg,Do you not have a dog?,LNQ
76,library,spk-pos,evi-neg,Is there no library nearby?,LNQ
76,rain,spk-neu,evi-pos,Is it raining?,PPQ
76,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
76,bike,spk-pos,evi-neu,Do you have a bike?,PPQ
77,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
77,rain,spk-neu,evi-neg,Isn't it raining?,HNQ
77,bike,spk-neu,evi-pos,Do you have a bike?,PPQ
77,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
77,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
77,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
77,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
78,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
78,bike,spk-pos,evi-neg,Don't you have a bike?,HNQ
78,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
78,korean,spk-neg,evi-neu,Really? Do you speak Korean?,ReallyPQ
78,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
78,beer,spk-neu,evi-neg,Do you not like beer?,LNQ
78,library,spk-neu,evi-pos,Is there a library nearby?,PPQ
79,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
79,beer,spk-neu,evi-pos,Do you like beer?,PPQ
79,bike,spk-neu,evi-neg,Don't you have a bike?,HNQ
79,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
79,library,spk-pos,evi-neg,Is there a library nearby?,PPQ
79,korean,spk-pos,evi-neu,Don't you speak Korean?,HNQ
79,rain,spk-neu,evi-neu,Isn't it raining?,HNQ
80,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
80,korean,spk-neg,evi-pos,Really? Do you speak Korean?,ReallyPQ
80,dog,spk-pos,evi-neu,"You have a dog, right?",Other
80,rain,spk-pos,evi-neg,Is it not raining?,LNQ
80,beer,spk-neu,evi-pos,Do you like beer?,PPQ
80,train,spk-neg,evi-neu,Is there no train in the early morning?,LNQ
80,bike,spk-neu,evi-neg,Do you not have a bike?,LNQ
81,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
81,korean,spk-neu,evi-pos,Do you speak Korean?,PPQ
81,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
81,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
81,beer,spk-neu,evi-neu,Do you not like beer?,LNQ
81,bike,spk-neu,evi-neg,Don't you have a bike?,HNQ
81,dog,spk-pos,evi-neg,Really? Do you have a dog?,ReallyPQ
82,library,spk-neu,evi-neg,Is there a library nearby?,PPQ
82,korean,spk-neu,evi-pos,Don't you speak Korean?,HNQ
82,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
82,beer,spk-pos,evi-neu,Don't you like beer?,HNQ
82,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
82,rain,spk-neg,evi-neu,Really? Is it raining?,ReallyPQ
82,bike,spk-pos,evi-neg,Do you not have a bike?,LNQ
83,rain,spk-neu,evi-neg,Is it not raining?,LNQ
83,bike,spk-neu,evi-pos,Do you have a bike?,PPQ
83,beer,spk-pos,evi-neu,Don't you like beer?,HNQ
83,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
83,library,spk-pos,evi-neg,Is there no library nearby?,LNQ
83,korean,spk-neg,evi-neu,Is Korean that hard to learn?,Other
83,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
84,rain,spk-pos,evi-neu,Did  you know rain is expected today all afternoon?,Other
84,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
84,bike,spk-neu,evi-neg,When is the last time you went bike riding?,Other
84,beer,spk-neu,evi-pos,What would you like to drink at the bar-b-que?,Other
84,library,spk-pos,evi-neg,Is there a library nearby?,PPQ
84,dog,spk-neu,evi-neu,Do  you have any pets?,Other
84,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
85,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
85,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
85,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
85,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
85,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
85,beer,spk-neg,evi-pos,Don't you not like beer?,Other
85,dog,spk-neu,evi-neg,Don't you have a dog?,HNQ
86,rain,spk-neu,evi-neg,Is it not raining?,LNQ
86,library,spk-pos,evi-neu,Really? Is there a library nearby?,ReallyPQ
86,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
86,korean,spk-neg,evi-neu,Do you speak Korean?,PPQ
86,bike,spk-neg,evi-pos,you really don't have a bike anymore? ,Other
86,beer,spk-pos,evi-neg,Do you not like beer?,LNQ
86,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
87,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
87,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
87,korean,spk-neu,evi-neg,Don't you speak Korean?,HNQ
87,beer,spk-neu,evi-pos,Do you like beer?,PPQ
87,dog,spk-neu,evi-neu,Don't you have a dog?,HNQ
87,bike,spk-pos,evi-neu,Don't you have a bike?,HNQ
87,rain,spk-pos,evi-neg,Isn't it raining?,HNQ
88,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
88,korean,spk-pos,evi-neg,Really? Do you speak Korean?,ReallyPQ
88,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
88,bike,spk-neu,evi-neg,Do you have a bike?,PPQ
88,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
88,rain,spk-neg,evi-neu,Is it raining?,PPQ
88,beer,spk-neg,evi-pos,Do you like beer?,PPQ
89,rain,spk-neu,evi-neu,Isn't it raining?,HNQ
89,beer,spk-neu,evi-neg,Don't you like beer?,HNQ
89,korean,spk-pos,evi-neu,Don't you speak Korean?,HNQ
89,train,spk-neg,evi-neu,Really? Is there a train in the early morning?,ReallyPQ
89,library,spk-neu,evi-pos,Is there a library nearby?,PPQ
89,bike,spk-pos,evi-neg,Don't you have a bike?,HNQ
89,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
90,rain,spk-pos,evi-neg,Is it raining?,PPQ
90,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
90,korean,spk-neg,evi-neu,Do you speak Korean?,PPQ
90,beer,spk-neu,evi-pos,Do you like beer?,PPQ
90,library,spk-neg,evi-pos,Is there a library nearby?,PPQ
90,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
90,bike,spk-neu,evi-neg,Do you have a bike?,PPQ
91,bike,spk-neg,evi-neu,Don't you have a bike?,HNQ
91,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
91,beer,spk-neg,evi-pos,Really? Do you like beer?,ReallyPQ
91,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
91,rain,spk-pos,evi-neu,Is it not raining?,LNQ
91,dog,spk-neu,evi-neg,DO you have any pets?,Other
91,train,spk-neu,evi-pos,SO I take the train at 6?,Other
92,rain,spk-pos,evi-neu,Is it raining?,PPQ
92,library,spk-neu,evi-pos,Really? Is there a library nearby?,ReallyPQ
92,korean,spk-neu,evi-neg,Do you not speak Korean?,LNQ
92,beer,spk-neg,evi-pos,Do you not like beer?,LNQ
92,dog,spk-neu,evi-neu,Don't you have a dog?,HNQ
92,bike,spk-neg,evi-neu,Don't you have a bike?,HNQ
92,train,spk-pos,evi-neg,Isn't there a train in the early morning?,HNQ
